pin,address,message
1948,"","Good job Red team! The next clue is located in a very ""cool"" spot. There's only one entrance and it doesn't go outside. It's a great spot for storing things."
1945,"","Excellent work Blue team! The next clue is located in a very ""cool"" spot. There's only one entrance and it doesn't go outside. It's a great spot for storing things."
1969,"","Awesome solving Green team! The next clue is located in a very ""cool"" spot. There's only one entrance and it doesn't go outside. It's a great spot for storing things."
4663,"","Another one for the Red team, keep it up fam! The next clue is located in a very special bedroom ~ one that belongs to Atlas' Dad!"
3663,"","Niceeeee solving Blue team, let's goooo! The next clue is located in a very special bedroom ~ one that belongs to Atlas' Dad!"
5683,"","Woah woah, some wiz kid code breakers here in the Green team, keep up the good work! The next clue is located in a very special bedroom ~ one that belongs to Atlas' Dad!"
1322,"","Looking sharp Red team! Keep those neurons firing, we have some clues to solve! The next clue is located somewhere we've all been, there's forks, knives, plates...even a microwave!"
3224,"","Well done Blue team, the game is just getting going! The next clue is located somewhere we've all been, there's forks, knives, plates...even a microwave!"
8213,"","Nice work Green team, we've got some clues to crack, so let's keep at it! The next clue is located somewhere we've all been, there's forks, knives, plates...even a microwave!"
6051,"","Woah woah Red team, are ya'll related to Sherlock cause that was some mighty fine solving! We're getting closer! The next location is somewhere great for guests. It's secluded, dark, and cool."
9142,"","Blue team... do you guys work for the CIA? That was some good solving! We're almost there! The next location is somewhere great for guests. It's secluded, dark, and cool."
5462,"","Crossword champs over here! Good job Green team, we are almost at the finish line, keep it up! The next location is somewhere great for guests. It's secluded, dark, and cool."
3311,"","Excellent work team! The goal is in sight! Quickly head to the holiest of holy spots, that's where the treasure rests!"
